warning: `VIRTUAL_ENV=/home/s.nanako/nanoGPT/.venv` does not match the project environment path `.venv` and will be ignored
/home/s.nanako/nanogpt/.venv/lib/python3.12/site-packages/torch/backends/__init__.py:46: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  self.setter(val)
/home/s.nanako/nanogpt/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
wandb: Currently logged in as: nac-39 (nac-39-nagoya-univ-) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run zvlytfeh
wandb: Tracking run with wandb version 0.22.3
wandb: Run data is saved locally in /home/s.nanako/nanogpt/wandb/run-20251110_184521-zvlytfeh
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run no-ffn-gpt2_1762767916.4742754
wandb: ⭐️ View project at https://wandb.ai/nac-39-nagoya-univ-/no-ffn-gpt2
wandb: 🚀 View run at https://wandb.ai/nac-39-nagoya-univ-/no-ffn-gpt2/runs/zvlytfeh
Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py
import time

wandb_log = True
# wandb_project = 'owt'
# wandb_run_name='gpt2-124M'
wandb_project = "no-ffn-gpt2"
wandb_run_name = "no-ffn-gpt2" + "_" + str(time.time())
# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 600000
lr_decay_iters = 600000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.58M
num decayed parameter tensors: 62, with 124,354,560 parameters
num non-decayed parameter tensors: 13, with 9,984 parameters
iter 16650: loss 3.3380, time 5103.32ms, mfu 26.32%
iter 16660: loss 3.1379, time 5111.10ms, mfu 26.32%
iter 16670: loss 3.4210, time 5128.95ms, mfu 26.31%
iter 16680: loss 3.4038, time 5134.62ms, mfu 26.31%
iter 16690: loss 3.1653, time 5133.53ms, mfu 26.30%
iter 16700: loss 3.3898, time 5136.99ms, mfu 26.29%
iter 16710: loss 3.1937, time 5131.15ms, mfu 26.28%
iter 16720: loss 3.2148, time 5118.46ms, mfu 26.29%
iter 16730: loss 3.2801, time 5096.10ms, mfu 26.30%
iter 16740: loss 3.1379, time 5095.53ms, mfu 26.31%
iter 16750: loss 3.2498, time 5096.19ms, mfu 26.32%
iter 16760: loss 3.2537, time 5102.26ms, mfu 26.33%
iter 16770: loss 3.3223, time 5100.60ms, mfu 26.34%
iter 16780: loss 3.1956, time 5106.69ms, mfu 26.34%
iter 16790: loss 3.1978, time 5104.79ms, mfu 26.34%
iter 16800: loss 3.1444, time 5106.24ms, mfu 26.35%
iter 16810: loss 3.3939, time 5109.23ms, mfu 26.35%
iter 16820: loss 3.4613, time 5129.93ms, mfu 26.34%
iter 16830: loss 3.3519, time 5123.47ms, mfu 26.33%
iter 16840: loss 3.2278, time 5122.79ms, mfu 26.33%
iter 16850: loss 3.3188, time 5136.46ms, mfu 26.32%
iter 16860: loss 3.2774, time 5133.37ms, mfu 26.31%
iter 16870: loss 3.3228, time 5139.15ms, mfu 26.30%
iter 16880: loss 3.4471, time 5159.47ms, mfu 26.28%
iter 16890: loss 3.4273, time 5142.31ms, mfu 26.27%
iter 16900: loss 3.4121, time 5128.02ms, mfu 26.27%
iter 16910: loss 3.4015, time 5129.16ms, mfu 26.27%
iter 16920: loss 3.1856, time 5115.39ms, mfu 26.27%
iter 16930: loss 3.2854, time 5103.10ms, mfu 26.28%
iter 16940: loss 3.1668, time 5086.10ms, mfu 26.30%
iter 16950: loss 3.3073, time 5104.43ms, mfu 26.31%
iter 16960: loss 3.4161, time 5093.01ms, mfu 26.32%
iter 16970: loss 3.1780, time 5115.37ms, mfu 26.32%
iter 16980: loss 3.2870, time 5112.90ms, mfu 26.32%
iter 16990: loss 3.2683, time 5139.83ms, mfu 26.31%
step 17000: train loss 3.2860, val loss 3.2919
saving checkpoint to out
iter 17000: loss 3.3474, time 31140.47ms, mfu 24.11%
iter 17010: loss 3.3235, time 5124.65ms, mfu 24.33%
iter 17020: loss 3.3571, time 5130.84ms, mfu 24.52%
iter 17030: loss 3.2368, time 5135.07ms, mfu 24.69%
iter 17040: loss 3.4666, time 5138.18ms, mfu 24.84%
iter 17050: loss 3.2926, time 5124.76ms, mfu 24.99%
iter 17060: loss 3.3374, time 5116.04ms, mfu 25.12%
iter 17070: loss 3.5184, time 5102.15ms, mfu 25.25%
iter 17080: loss 3.2435, time 5098.62ms, mfu 25.36%
iter 17090: loss 3.2876, time 5096.94ms, mfu 25.47%
iter 17100: loss 3.3543, time 5098.33ms, mfu 25.56%
iter 17110: loss 3.3403, time 5115.97ms, mfu 25.64%
iter 17120: loss 3.2908, time 5105.12ms, mfu 25.71%
iter 17130: loss 3.2048, time 5105.77ms, mfu 25.78%
iter 17140: loss 3.2740, time 5127.27ms, mfu 25.83%
iter 17150: loss 3.1661, time 5123.44ms, mfu 25.87%
iter 17160: loss 3.2959, time 5124.49ms, mfu 25.91%
iter 17170: loss 3.4199, time 5134.63ms, mfu 25.94%
iter 17180: loss 3.1189, time 5129.45ms, mfu 25.97%
iter 17190: loss 3.2068, time 5146.42ms, mfu 25.99%
iter 17200: loss 3.2875, time 5124.16ms, mfu 26.02%
iter 17210: loss 3.0630, time 5141.32ms, mfu 26.04%
iter 17220: loss 3.2407, time 5155.60ms, mfu 26.05%
iter 17230: loss 3.1039, time 5128.83ms, mfu 26.07%
iter 17240: loss 3.1372, time 5115.39ms, mfu 26.09%
iter 17250: loss 3.3182, time 5101.71ms, mfu 26.12%
iter 17260: loss 3.0375, time 5099.53ms, mfu 26.15%
iter 17270: loss 3.2089, time 5106.91ms, mfu 26.17%
iter 17280: loss 3.1888, time 5104.94ms, mfu 26.19%
iter 17290: loss 3.4291, time 5090.52ms, mfu 26.22%
iter 17300: loss 3.5094, time 5108.76ms, mfu 26.23%
iter 17310: loss 3.2963, time 5115.26ms, mfu 26.24%
iter 17320: loss 3.3474, time 5124.01ms, mfu 26.25%
iter 17330: loss 3.2665, time 5122.00ms, mfu 26.25%
iter 17340: loss 3.1571, time 5131.48ms, mfu 26.25%
iter 17350: loss 3.1889, time 5131.26ms, mfu 26.25%
iter 17360: loss 3.5139, time 5132.98ms, mfu 26.25%
iter 17370: loss 3.2925, time 5128.93ms, mfu 26.25%
iter 17380: loss 3.2332, time 5133.64ms, mfu 26.25%
iter 17390: loss 3.3534, time 5134.65ms, mfu 26.24%
iter 17400: loss 3.3140, time 5142.88ms, mfu 26.24%
iter 17410: loss 3.4598, time 5122.65ms, mfu 26.24%
iter 17420: loss 3.3152, time 5109.66ms, mfu 26.25%
iter 17430: loss 3.2119, time 5099.33ms, mfu 26.27%
iter 17440: loss 3.3233, time 5102.00ms, mfu 26.28%
iter 17450: loss 3.0668, time 5094.70ms, mfu 26.30%
iter 17460: loss 3.1126, time 5101.81ms, mfu 26.31%
iter 17470: loss 3.4607, time 5113.99ms, mfu 26.31%
iter 17480: loss 3.3293, time 5119.09ms, mfu 26.31%
iter 17490: loss 3.3058, time 5137.85ms, mfu 26.30%
iter 17500: loss 3.3653, time 5141.58ms, mfu 26.29%
iter 17510: loss 3.2861, time 5131.04ms, mfu 26.28%
iter 17520: loss 3.1977, time 5144.25ms, mfu 26.27%
iter 17530: loss 3.3444, time 5144.91ms, mfu 26.26%
iter 17540: loss 3.2034, time 5132.60ms, mfu 26.26%
iter 17550: loss 3.2638, time 5137.28ms, mfu 26.25%
iter 17560: loss 3.4914, time 5125.72ms, mfu 26.26%
iter 17570: loss 3.2555, time 5136.68ms, mfu 26.25%
iter 17580: loss 3.2340, time 5148.86ms, mfu 26.24%
iter 17590: loss 3.1945, time 5127.12ms, mfu 26.24%
iter 17600: loss 3.1025, time 5116.95ms, mfu 26.25%
iter 17610: loss 3.2008, time 5102.41ms, mfu 26.26%
iter 17620: loss 3.3235, time 5100.03ms, mfu 26.28%
iter 17630: loss 3.4075, time 5103.27ms, mfu 26.29%
iter 17640: loss 3.4043, time 5106.99ms, mfu 26.30%
iter 17650: loss 3.2157, time 5107.69ms, mfu 26.30%
iter 17660: loss 3.2682, time 5121.43ms, mfu 26.30%
iter 17670: loss 3.1664, time 5128.64ms, mfu 26.30%
iter 17680: loss 3.3198, time 5138.24ms, mfu 26.29%
iter 17690: loss 3.3773, time 5137.29ms, mfu 26.28%
iter 17700: loss 3.0674, time 5117.29ms, mfu 26.28%
iter 17710: loss 3.0767, time 5121.54ms, mfu 26.28%
iter 17720: loss 3.3121, time 5134.92ms, mfu 26.28%
iter 17730: loss 3.2209, time 5144.52ms, mfu 26.27%
iter 17740: loss 3.2465, time 5136.12ms, mfu 26.26%
iter 17750: loss 3.3251, time 5147.85ms, mfu 26.25%
iter 17760: loss 3.0687, time 5140.49ms, mfu 26.25%
iter 17770: loss 3.3717, time 5142.59ms, mfu 26.24%
iter 17780: loss 3.3037, time 5153.30ms, mfu 26.23%
iter 17790: loss 3.2841, time 5164.40ms, mfu 26.21%
iter 17800: loss 3.0946, time 5145.51ms, mfu 26.21%
iter 17810: loss 3.3286, time 5131.68ms, mfu 26.21%
iter 17820: loss 3.2268, time 5106.75ms, mfu 26.23%
iter 17830: loss 3.3813, time 5102.08ms, mfu 26.24%
iter 17840: loss 3.1483, time 5099.18ms, mfu 26.26%
iter 17850: loss 3.1723, time 5097.71ms, mfu 26.28%
iter 17860: loss 3.3824, time 5095.63ms, mfu 26.29%
iter 17870: loss 3.3165, time 5124.77ms, mfu 26.29%
iter 17880: loss 3.3371, time 5127.53ms, mfu 26.29%
iter 17890: loss 3.3332, time 5128.90ms, mfu 26.28%
iter 17900: loss 3.1780, time 5130.98ms, mfu 26.28%
iter 17910: loss 3.4315, time 5138.64ms, mfu 26.27%
iter 17920: loss 3.2973, time 5131.99ms, mfu 26.27%
iter 17930: loss 3.3088, time 5139.94ms, mfu 26.26%
iter 17940: loss 3.0824, time 5120.36ms, mfu 26.26%
iter 17950: loss 3.2456, time 5108.55ms, mfu 26.27%
iter 17960: loss 3.1915, time 5101.86ms, mfu 26.29%
iter 17970: loss 3.2312, time 5094.14ms, mfu 26.30%
iter 17980: loss 3.1707, time 5095.28ms, mfu 26.31%
iter 17990: loss 3.3179, time 5106.71ms, mfu 26.32%
step 18000: train loss 3.2843, val loss 3.2919
saving checkpoint to out
iter 18000: loss 3.2815, time 31090.61ms, mfu 24.12%
iter 18010: loss 3.0259, time 5121.54ms, mfu 24.34%
iter 18020: loss 3.1072, time 5130.83ms, mfu 24.53%
iter 18030: loss 3.3390, time 5123.89ms, mfu 24.70%
iter 18040: loss 3.4350, time 5122.84ms, mfu 24.86%
iter 18050: loss 3.1177, time 5119.99ms, mfu 25.00%
iter 18060: loss 3.2310, time 5121.00ms, mfu 25.13%
iter 18070: loss 3.3977, time 5133.34ms, mfu 25.24%
iter 18080: loss 3.2222, time 5135.04ms, mfu 25.34%
iter 18090: loss 3.3139, time 5134.64ms, mfu 25.43%
iter 18100: loss 3.1712, time 5131.98ms, mfu 25.51%
iter 18110: loss 3.0561, time 5136.27ms, mfu 25.58%
iter 18120: loss 3.1879, time 5139.57ms, mfu 25.64%
iter 18130: loss 3.4177, time 5134.88ms, mfu 25.70%
iter 18140: loss 3.3695, time 5148.66ms, mfu 25.75%
iter 18150: loss 3.2638, time 5119.81ms, mfu 25.80%
iter 18160: loss 3.1987, time 5122.59ms, mfu 25.85%
iter 18170: loss 3.1490, time 5135.97ms, mfu 25.89%
iter 18180: loss 3.2310, time 5125.27ms, mfu 25.92%
iter 18190: loss 3.1520, time 5137.25ms, mfu 25.95%
iter 18200: loss 3.1890, time 5120.65ms, mfu 25.99%
iter 18210: loss 3.4205, time 5107.54ms, mfu 26.03%
iter 18220: loss 3.2549, time 5096.80ms, mfu 26.06%
iter 18230: loss 3.1826, time 5089.83ms, mfu 26.10%
iter 18240: loss 3.2697, time 5104.82ms, mfu 26.13%
iter 18250: loss 3.2091, time 5107.78ms, mfu 26.15%
iter 18260: loss 3.2749, time 5122.64ms, mfu 26.17%
iter 18270: loss 3.1814, time 5131.65ms, mfu 26.17%
iter 18280: loss 3.1018, time 5120.40ms, mfu 26.19%
iter 18290: loss 3.2923, time 5126.09ms, mfu 26.19%
iter 18300: loss 3.2520, time 5125.35ms, mfu 26.20%
iter 18310: loss 3.2027, time 5131.61ms, mfu 26.21%
iter 18320: loss 3.4459, time 5134.69ms, mfu 26.21%
iter 18330: loss 3.4441, time 5133.12ms, mfu 26.21%
iter 18340: loss 3.3372, time 5139.06ms, mfu 26.21%
iter 18350: loss 3.3414, time 5132.37ms, mfu 26.21%
iter 18360: loss 2.9441, time 5143.90ms, mfu 26.21%
iter 18370: loss 2.9390, time 5131.10ms, mfu 26.21%
iter 18380: loss 3.4972, time 5128.22ms, mfu 26.22%
iter 18390: loss 3.3213, time 5133.43ms, mfu 26.22%
iter 18400: loss 3.3787, time 5126.57ms, mfu 26.22%
iter 18410: loss 3.4222, time 5138.59ms, mfu 26.22%
iter 18420: loss 3.2924, time 5135.79ms, mfu 26.22%
iter 18430: loss 3.4330, time 5139.35ms, mfu 26.22%
iter 18440: loss 3.5952, time 5135.36ms, mfu 26.22%
iter 18450: loss 3.3550, time 5128.59ms, mfu 26.22%
iter 18460: loss 3.4616, time 5143.49ms, mfu 26.22%
iter 18470: loss 3.3920, time 5128.06ms, mfu 26.22%
iter 18480: loss 3.1120, time 5131.04ms, mfu 26.22%
iter 18490: loss 3.1959, time 5131.26ms, mfu 26.23%
iter 18500: loss 3.2310, time 5120.09ms, mfu 26.23%
iter 18510: loss 3.2159, time 5132.10ms, mfu 26.23%
iter 18520: loss 3.3612, time 5129.05ms, mfu 26.24%
iter 18530: loss 3.1553, time 5132.16ms, mfu 26.24%
iter 18540: loss 3.0864, time 5123.14ms, mfu 26.24%
iter 18550: loss 3.3226, time 5131.10ms, mfu 26.24%
iter 18560: loss 3.2546, time 5129.12ms, mfu 26.24%
iter 18570: loss 3.3675, time 5127.51ms, mfu 26.24%
iter 18580: loss 3.3005, time 5110.03ms, mfu 26.25%
iter 18590: loss 3.3108, time 5103.34ms, mfu 26.27%
iter 18600: loss 3.2207, time 5091.33ms, mfu 26.29%
iter 18610: loss 3.4407, time 5094.86ms, mfu 26.30%
iter 18620: loss 3.1895, time 5109.28ms, mfu 26.30%
iter 18630: loss 3.2600, time 5096.66ms, mfu 26.32%
iter 18640: loss 3.1718, time 5102.38ms, mfu 26.32%
iter 18650: loss 3.1225, time 5116.84ms, mfu 26.32%
iter 18660: loss 3.2982, time 5125.99ms, mfu 26.32%
iter 18670: loss 3.2636, time 5139.81ms, mfu 26.31%
iter 18680: loss 3.4369, time 5131.46ms, mfu 26.30%
iter 18690: loss 3.3738, time 5138.53ms, mfu 26.29%
iter 18700: loss 3.3468, time 5149.81ms, mfu 26.28%
iter 18710: loss 3.3024, time 5119.36ms, mfu 26.28%
iter 18720: loss 3.2006, time 5145.61ms, mfu 26.27%
iter 18730: loss 3.2212, time 5128.50ms, mfu 26.27%
iter 18740: loss 3.1851, time 5126.99ms, mfu 26.27%
iter 18750: loss 3.1951, time 5117.21ms, mfu 26.27%
iter 18760: loss 3.2323, time 5126.35ms, mfu 26.27%
iter 18770: loss 3.0371, time 5119.64ms, mfu 26.27%
iter 18780: loss 3.2807, time 5125.55ms, mfu 26.27%
iter 18790: loss 3.3771, time 5126.35ms, mfu 26.27%
iter 18800: loss 3.2586, time 5133.48ms, mfu 26.27%
iter 18810: loss 3.3803, time 5129.46ms, mfu 26.27%
iter 18820: loss 3.1953, time 5128.22ms, mfu 26.27%
iter 18830: loss 3.2271, time 5130.20ms, mfu 26.26%
iter 18840: loss 3.4092, time 5135.70ms, mfu 26.26%
iter 18850: loss 3.1646, time 5125.64ms, mfu 26.26%
iter 18860: loss 3.4468, time 5126.24ms, mfu 26.26%
iter 18870: loss 3.1849, time 5126.90ms, mfu 26.26%
iter 18880: loss 3.1856, time 5136.26ms, mfu 26.26%
iter 18890: loss 3.3480, time 5115.77ms, mfu 26.26%
iter 18900: loss 3.5260, time 5093.61ms, mfu 26.28%
iter 18910: loss 3.4418, time 5094.24ms, mfu 26.30%
iter 18920: loss 3.3351, time 5091.83ms, mfu 26.31%
iter 18930: loss 3.5179, time 5106.39ms, mfu 26.32%
iter 18940: loss 3.3114, time 5102.47ms, mfu 26.32%
iter 18950: loss 3.1520, time 5101.71ms, mfu 26.33%
iter 18960: loss 3.3288, time 5111.02ms, mfu 26.33%
iter 18970: loss 3.2073, time 5116.27ms, mfu 26.33%
iter 18980: loss 3.3386, time 5133.66ms, mfu 26.32%
iter 18990: loss 3.2060, time 5096.85ms, mfu 26.33%
step 19000: train loss 3.2718, val loss 3.2694
saving checkpoint to out
iter 19000: loss 3.1660, time 30903.92ms, mfu 24.13%
iter 19010: loss 3.2096, time 5092.24ms, mfu 24.36%
iter 19020: loss 3.3220, time 5091.17ms, mfu 24.57%
iter 19030: loss 3.4035, time 5108.51ms, mfu 24.75%
iter 19040: loss 3.2661, time 5110.60ms, mfu 24.91%
iter 19050: loss 3.0259, time 5127.64ms, mfu 25.05%
iter 19060: loss 3.3169, time 5127.89ms, mfu 25.17%
iter 19070: loss 3.1680, time 5116.75ms, mfu 25.28%
iter 19080: loss 3.4970, time 5105.96ms, mfu 25.39%
iter 19090: loss 3.1372, time 5101.01ms, mfu 25.49%
iter 19100: loss 3.3111, time 5085.99ms, mfu 25.59%
iter 19110: loss 3.1302, time 5096.21ms, mfu 25.67%
iter 19120: loss 3.1588, time 5108.04ms, mfu 25.74%
iter 19130: loss 3.0613, time 5121.77ms, mfu 25.80%
iter 19140: loss 3.2652, time 5131.71ms, mfu 25.84%
iter 19150: loss 3.0609, time 5107.47ms, mfu 25.89%
iter 19160: loss 3.3517, time 5114.90ms, mfu 25.94%
iter 19170: loss 3.2467, time 5098.16ms, mfu 25.98%
iter 19180: loss 3.1423, time 5070.83ms, mfu 26.04%
iter 19190: loss 3.3098, time 5055.15ms, mfu 26.10%
iter 19200: loss 3.2247, time 5086.52ms, mfu 26.14%
iter 19210: loss 3.2912, time 5088.33ms, mfu 26.17%
iter 19220: loss 3.5493, time 5100.36ms, mfu 26.19%
iter 19230: loss 3.2217, time 5122.51ms, mfu 26.20%
iter 19240: loss 3.2449, time 5122.24ms, mfu 26.21%
iter 19250: loss 3.2874, time 5101.42ms, mfu 26.23%
iter 19260: loss 3.3220, time 5096.65ms, mfu 26.25%
iter 19270: loss 3.2017, time 5076.04ms, mfu 26.28%
iter 19280: loss 3.1315, time 5088.82ms, mfu 26.29%
iter 19290: loss 3.1698, time 5095.75ms, mfu 26.31%
iter 19300: loss 3.2893, time 5107.11ms, mfu 26.31%
iter 19310: loss 3.1313, time 5109.86ms, mfu 26.32%
iter 19320: loss 3.2371, time 5105.37ms, mfu 26.32%
iter 19330: loss 3.4806, time 5096.90ms, mfu 26.33%
iter 19340: loss 3.3038, time 5104.61ms, mfu 26.34%
iter 19350: loss 3.2534, time 5082.30ms, mfu 26.35%
iter 19360: loss 3.2743, time 5076.23ms, mfu 26.37%
iter 19370: loss 3.0024, time 5095.69ms, mfu 26.38%
iter 19380: loss 3.1820, time 5091.56ms, mfu 26.38%
iter 19390: loss 3.3500, time 5105.12ms, mfu 26.38%
iter 19400: loss 3.2969, time 5105.42ms, mfu 26.38%
iter 19410: loss 3.2436, time 5122.28ms, mfu 26.37%
iter 19420: loss 3.2224, time 5119.85ms, mfu 26.36%
iter 19430: loss 3.2223, time 5099.79ms, mfu 26.37%
iter 19440: loss 3.5452, time 5106.24ms, mfu 26.37%
iter 19450: loss 3.0984, time 5063.34ms, mfu 26.39%
iter 19460: loss 3.3561, time 5097.15ms, mfu 26.39%
iter 19470: loss 3.2603, time 5092.08ms, mfu 26.40%
iter 19480: loss 3.3439, time 5105.63ms, mfu 26.40%
iter 19490: loss 3.3262, time 5111.30ms, mfu 26.39%
iter 19500: loss 3.2861, time 5115.44ms, mfu 26.38%
iter 19510: loss 3.2648, time 5099.60ms, mfu 26.39%
iter 19520: loss 3.4591, time 5098.49ms, mfu 26.39%
iter 19530: loss 3.2004, time 5090.47ms, mfu 26.39%
iter 19540: loss 3.3306, time 5104.26ms, mfu 26.39%
iter 19550: loss 3.1520, time 5096.90ms, mfu 26.40%
iter 19560: loss 3.2013, time 5118.76ms, mfu 26.39%
iter 19570: loss 3.2541, time 5119.66ms, mfu 26.38%
iter 19580: loss 3.2449, time 5116.06ms, mfu 26.37%
iter 19590: loss 3.2108, time 5113.61ms, mfu 26.37%
iter 19600: loss 3.5145, time 5080.40ms, mfu 26.38%
iter 19610: loss 3.2243, time 5077.25ms, mfu 26.40%
iter 19620: loss 3.0373, time 5086.04ms, mfu 26.40%
iter 19630: loss 3.2724, time 5096.87ms, mfu 26.40%
iter 19640: loss 3.3615, time 5099.34ms, mfu 26.40%
iter 19650: loss 3.1924, time 5105.03ms, mfu 26.40%
iter 19660: loss 3.1672, time 5107.65ms, mfu 26.40%
iter 19670: loss 3.2900, time 5104.06ms, mfu 26.40%
iter 19680: loss 3.2987, time 5096.59ms, mfu 26.40%
iter 19690: loss 3.1171, time 5100.20ms, mfu 26.40%
iter 19700: loss 3.2906, time 5081.51ms, mfu 26.41%
iter 19710: loss 3.2026, time 5094.84ms, mfu 26.41%
iter 19720: loss 3.1400, time 5088.52ms, mfu 26.42%
iter 19730: loss 3.2573, time 5115.21ms, mfu 26.41%
iter 19740: loss 3.3020, time 5119.10ms, mfu 26.40%
iter 19750: loss 3.3932, time 5104.55ms, mfu 26.39%
iter 19760: loss 3.1774, time 5102.96ms, mfu 26.39%
iter 19770: loss 3.1979, time 5082.94ms, mfu 26.40%
iter 19780: loss 3.1983, time 5054.56ms, mfu 26.43%
iter 19790: loss 3.2335, time 5051.98ms, mfu 26.45%
iter 19800: loss 3.3451, time 5077.27ms, mfu 26.46%
iter 19810: loss 3.1997, time 5087.11ms, mfu 26.46%
iter 19820: loss 3.1278, time 5085.26ms, mfu 26.46%
iter 19830: loss 3.1804, time 5094.93ms, mfu 26.46%
iter 19840: loss 3.3691, time 5108.82ms, mfu 26.45%
iter 19850: loss 3.1656, time 5103.18ms, mfu 26.44%
iter 19860: loss 3.3035, time 5097.22ms, mfu 26.44%
iter 19870: loss 3.2754, time 5100.02ms, mfu 26.43%
iter 19880: loss 3.2223, time 5103.38ms, mfu 26.43%
iter 19890: loss 2.9275, time 5114.83ms, mfu 26.42%
iter 19900: loss 3.3652, time 5111.36ms, mfu 26.41%
iter 19910: loss 3.1460, time 5140.25ms, mfu 26.39%
iter 19920: loss 3.3040, time 5134.12ms, mfu 26.37%
iter 19930: loss 3.0732, time 5114.44ms, mfu 26.37%
iter 19940: loss 3.5463, time 5102.61ms, mfu 26.37%
iter 19950: loss 3.4422, time 5095.48ms, mfu 26.38%
iter 19960: loss 3.2186, time 5102.90ms, mfu 26.38%
iter 19970: loss 3.2474, time 5114.89ms, mfu 26.37%
iter 19980: loss 3.3380, time 5134.44ms, mfu 26.36%
iter 19990: loss 3.3191, time 5133.16ms, mfu 26.34%
step 20000: train loss 3.2547, val loss 3.2646
saving checkpoint to out
iter 20000: loss 3.2035, time 31045.30ms, mfu 24.14%
iter 20010: loss 3.1826, time 5102.98ms, mfu 24.37%
iter 20020: loss 3.2980, time 5101.65ms, mfu 24.57%
iter 20030: loss 3.4498, time 5059.73ms, mfu 24.78%
iter 20040: loss 3.1712, time 5036.79ms, mfu 24.97%
iter 20050: loss 3.2544, time 5032.64ms, mfu 25.15%
iter 20060: loss 3.3743, time 5012.82ms, mfu 25.32%
iter 20070: loss 3.2776, time 5012.59ms, mfu 25.47%
iter 20080: loss 2.8324, time 5011.50ms, mfu 25.61%
iter 20090: loss 3.1511, time 5036.54ms, mfu 25.73%
iter 20100: loss 3.3166, time 5061.11ms, mfu 25.81%
iter 20110: loss 3.4571, time 5074.03ms, mfu 25.89%
iter 20120: loss 3.2433, time 5084.83ms, mfu 25.95%
iter 20130: loss 3.2059, time 5089.52ms, mfu 26.00%
iter 20140: loss 3.2486, time 5093.58ms, mfu 26.04%
iter 20150: loss 3.1280, time 5100.45ms, mfu 26.08%
iter 20160: loss 3.2241, time 5086.95ms, mfu 26.12%
iter 20170: loss 3.2889, time 5093.14ms, mfu 26.15%
iter 20180: loss 3.0932, time 5115.95ms, mfu 26.17%
iter 20190: loss 3.2786, time 5114.55ms, mfu 26.18%
iter 20200: loss 3.1480, time 5117.32ms, mfu 26.19%
iter 20210: loss 3.2667, time 5134.81ms, mfu 26.20%
iter 20220: loss 3.2688, time 5130.96ms, mfu 26.20%
iter 20230: loss 3.2572, time 5133.59ms, mfu 26.20%
iter 20240: loss 3.3358, time 5114.95ms, mfu 26.22%
iter 20250: loss 3.4330, time 5102.62ms, mfu 26.23%
iter 20260: loss 3.4062, time 5076.22ms, mfu 26.26%
iter 20270: loss 3.4662, time 5097.31ms, mfu 26.28%
iter 20280: loss 3.3346, time 5113.86ms, mfu 26.28%
iter 20290: loss 2.9751, time 5118.99ms, mfu 26.29%
iter 20300: loss 3.3949, time 5130.23ms, mfu 26.28%
iter 20310: loss 3.3186, time 5146.52ms, mfu 26.27%
iter 20320: loss 3.4524, time 5132.89ms, mfu 26.27%
iter 20330: loss 3.4464, time 5131.37ms, mfu 26.26%
iter 20340: loss 3.3737, time 5129.94ms, mfu 26.26%
iter 20350: loss 3.2149, time 5130.80ms, mfu 26.26%
iter 20360: loss 3.2747, time 5148.74ms, mfu 26.25%
iter 20370: loss 3.4537, time 5132.91ms, mfu 26.25%
iter 20380: loss 3.2168, time 5134.18ms, mfu 26.25%
iter 20390: loss 3.3024, time 5136.47ms, mfu 26.24%
iter 20400: loss 3.3602, time 5137.66ms, mfu 26.24%
iter 20410: loss 3.3544, time 5139.02ms, mfu 26.24%
iter 20420: loss 3.1505, time 5137.57ms, mfu 26.23%
iter 20430: loss 3.3589, time 5132.92ms, mfu 26.23%
iter 20440: loss 3.3843, time 5145.55ms, mfu 26.23%
iter 20450: loss 3.3954, time 5151.31ms, mfu 26.22%
iter 20460: loss 3.0711, time 5156.73ms, mfu 26.21%
iter 20470: loss 3.3796, time 5148.86ms, mfu 26.20%
iter 20480: loss 3.2268, time 5132.74ms, mfu 26.20%
iter 20490: loss 3.1805, time 5118.68ms, mfu 26.21%
iter 20500: loss 2.9431, time 5143.16ms, mfu 26.21%
iter 20510: loss 3.1246, time 5149.93ms, mfu 26.20%
iter 20520: loss 3.2491, time 5141.30ms, mfu 26.20%
iter 20530: loss 3.0139, time 5143.67ms, mfu 26.20%
iter 20540: loss 3.4309, time 5146.96ms, mfu 26.20%
iter 20550: loss 3.3493, time 5143.38ms, mfu 26.20%
iter 20560: loss 3.2659, time 5150.87ms, mfu 26.19%
